Belegungsfaktor: 0,1652893 | T(20): 186.660 | T1(20): 106.788 | T2(20): 027.210 | T3(20): 052.662
Belegungsfaktor: 0,1639344 | T(20): 301.056 | T1(20): 232.301 | T2(20): 023.114 | T3(20): 045.641
Belegungsfaktor: 0,1626016 | T(20): 270.043 | T1(20): 025.454 | T2(20): 026.331 | T3(20): 218.258
Belegungsfaktor: 0,1612903 | T(20): 223.525 | T1(20): 146.579 | T2(20): 026.331 | T3(20): 050.615
Belegungsfaktor: 0,1600000 | T(20): 196.316 | T1(20): 108.252 | T2(20): 043.008 | T3(20): 045.056
Belegungsfaktor: 0,1587302 | T(20): 119.077 | T1(20): 054.711 | T2(20): 021.943 | T3(20): 042.423
Belegungsfaktor: 0,1574803 | T(20): 099.182 | T1(20): 038.034 | T2(20): 021.651 | T3(20): 039.497
Belegungsfaktor: 0,1562500 | T(20): 077.238 | T1(20): 018.139 | T2(20): 020.480 | T3(20): 038.619
Belegungsfaktor: 0,1550388 | T(20): 104.447 | T1(20): 043.300 | T2(20): 021.065 | T3(20): 040.082
Belegungsfaktor: 0,1538462 | T(20): 102.108 | T1(20): 038.327 | T2(20): 021.943 | T3(20): 041.838
Belegungsfaktor: 0,1526718 | T(20): 083.090 | T1(20): 015.213 | T2(20): 029.258 | T3(20): 038.619
Belegungsfaktor: 0,1515152 | T(20): 074.899 | T1(20): 016.092 | T2(20): 021.065 | T3(20): 037.742
Belegungsfaktor: 0,1503759 | T(20): 096.841 | T1(20): 016.969 | T2(20): 019.602 | T3(20): 060.270
Belegungsfaktor: 0,1492537 | T(20): 103.570 | T1(20): 031.890 | T2(20): 030.720 | T3(20): 040.960
Belegungsfaktor: 0,1481481 | T(20): 116.151 | T1(20): 023.991 | T2(20): 043.301 | T3(20): 048.859
Belegungsfaktor: 0,1470588 | T(20): 102.107 | T1(20): 021.065 | T2(20): 022.236 | T3(20): 058.806
Belegungsfaktor: 0,1459854 | T(20): 083.969 | T1(20): 024.284 | T2(20): 021.065 | T3(20): 038.620
Belegungsfaktor: 0,1449275 | T(20): 097.719 | T1(20): 021.943 | T2(20): 027.209 | T3(20): 048.567
Belegungsfaktor: 0,1438849 | T(20): 257.756 | T1(20): 103.278 | T2(20): 092.745 | T3(20): 061.733
Belegungsfaktor: 0,1428571 | T(20): 165.888 | T1(20): 103.863 | T2(20): 021.358 | T3(20): 040.667
Belegungsfaktor: 0,1418440 | T(20): 114.103 | T1(20): 016.970 | T2(20): 039.789 | T3(20): 057.344
Belegungsfaktor: 0,1408451 | T(20): 082.213 | T1(20): 024.576 | T2(20): 019.895 | T3(20): 037.742
Belegungsfaktor: 0,1398601 | T(20): 075.775 | T1(20): 019.309 | T2(20): 021.358 | T3(20): 035.108
Belegungsfaktor: 0,1388889 | T(20): 098.304 | T1(20): 040.960 | T2(20): 020.187 | T3(20): 037.157
Belegungsfaktor: 0,1379310 | T(20): 119.076 | T1(20): 057.051 | T2(20): 021.065 | T3(20): 040.960
Belegungsfaktor: 0,1369863 | T(20): 088.649 | T1(20): 031.597 | T2(20): 019.603 | T3(20): 037.449
Belegungsfaktor: 0,1360544 | T(20): 096.256 | T1(20): 022.821 | T2(20): 027.209 | T3(20): 046.226
Belegungsfaktor: 0,1351351 | T(20): 131.949 | T1(20): 076.946 | T2(20): 019.895 | T3(20): 035.108
Belegungsfaktor: 0,1342282 | T(20): 133.998 | T1(20): 033.061 | T2(20): 027.502 | T3(20): 073.435
Belegungsfaktor: 0,1333333 | T(20): 109.129 | T1(20): 044.471 | T2(20): 023.698 | T3(20): 040.960
Belegungsfaktor: 0,1324503 | T(20): 121.417 | T1(20): 056.466 | T2(20): 025.454 | T3(20): 039.497
